Stress(MPa),Strain(%)
372.870898,10.19914417
372.2310141,10.21231073
372.2726923,10.22712311
372.6837544,10.24028966
373.0694826,10.25345622
372.5979462,10.26662278
372.2882195,10.27978934
372.6862061,10.29460171
373.1217848,10.30941409
372.8185958,10.32258065
373.4674692,10.33739302
372.6093873,10.3522054
372.7172604,10.36537196
373.3841126,10.38018433
373.3579616,10.39170507
372.9567062,10.40651745
372.7630248,10.419684
373.289315,10.43285056
373.3947365,10.44766294
373.3931021,10.46247531
373.7600342,10.47728769
373.2786912,10.49045425
373.4257909,10.50526662
373.9079512,10.51843318
373.718356,10.53159974
373.7976264,10.54476629
373.3996398,10.55793285
373.7976264,10.57274523
374.1392247,10.5875576
373.9185751,10.60072416
374.4317898,10.61553654
373.9365539,10.63034891
374.2446462,10.64351547
374.636095,10.65668203
374.2732489,10.66984858
374.1915268,10.68301514
374.0991809,10.6961817
374.3304544,10.71099408
374.5331251,10.72580645
374.4162626,10.73897301
374.6998382,10.75378539
374.3108411,10.76859776
374.2381084,10.78176432
375.0259093,10.79493088
374.7684847,10.80809743
374.4644786,10.82126399
374.229119,10.83443055
374.8297763,10.84924292
374.9973066,10.8640553
375.1313308,10.87722186
375.3290982,10.89203423
374.9311117,10.90684661
374.9466389,10.92001317
375.8774534,10.93317972
375.5979639,10.94634628
375.0937386,10.95951284
375.0872009,10.97432521
375.4876391,10.98913759
375.868464,11.00230415
375.9150456,11.01711652
375.4287992,11.0319289
375.461488,11.04509546
375.4083687,11.05826201
376.042532,11.07307439
375.7671286,11.08624095
375.2939577,11.0994075
375.5366723,11.11257406
375.6371905,11.12738644
376.2468372,11.14219882
376.1373296,11.15536537
375.8880773,11.17017775
375.938745,11.18499013
375.9542722,11.19815668
376.5132512,11.21132324
376.1945351,11.2244898
375.8619262,11.23765635
376.4691213,11.25082291
376.4691213,11.26563529
376.6080488,11.27880184
377.030552,11.29361422
376.2141484,11.3084266
376.2362134,11.32159315
376.0842103,11.33475971
377.0264659,11.34957209
376.6897709,11.36273864
376.0490698,11.3759052
376.7183736,11.38907176
376.8965278,11.40388413
377.2242333,11.41869651
377.3035038,11.43350889
376.5336817,11.44667544
376.8041818,11.46148782
377.0133904,11.47465438
377.5298739,11.48782093
377.1515007,11.50098749
376.5794461,11.51415405
376.9913254,11.52732061
377.4293558,11.54213298
377.4334419,11.55694536
377.6737048,11.57175774
377.008487,11.58492429
377.3214826,11.59973667
377.4595929,11.61290323
377.8534934,11.62606978
377.3696987,11.64088216
377.1073708,11.6524029
377.4465174,11.66721527
377.9172366,11.68202765
377.8248907,11.69684003
378.0079481,11.71000658
377.5960688,11.72481896
377.5192501,11.73798552
378.1158213,11.75279789
378.0872185,11.76431863
377.9090644,11.77913101
377.6867803,11.79065174
377.9924209,11.80546412
378.2498455,11.8202765
378.1885539,11.83508887
378.5334211,11.84825543
377.9548288,11.86306781
378.0782291,11.87623436
378.621681,11.88940092
378.5489483,11.90256748
378.2392216,11.91573404
378.0234753,11.92890059
378.5407761,11.94371297
378.6878759,11.95852535
378.388773,11.97333772
378.9542898,11.9881501
378.355267,12.00131666
378.4279996,12.01448321
379.2468549,12.02929559
378.8594922,12.04246215
378.6592731,12.0556287
378.4786673,12.06879526
378.9281388,12.08360764
378.9493865,12.09842001
378.8047384,12.11158657
379.1348957,12.12639895
378.6412943,12.14121132
378.5710133,12.15437788
379.5794638,12.16754444
379.0531736,12.18071099
378.9060738,12.19387755
378.5579377,12.20704411
379.1871978,12.22185648
379.5042795,12.23666886
379.2713715,12.25148124
379.5328822,12.26464779
379.328577,12.27946017
379.4274607,12.29262673
380.2324232,12.30579329
379.5353339,12.31895984
379.2182522,12.3321264
379.5157206,12.34529296
379.8695772,12.36010533
379.8851044,12.37491771
379.8123717,12.38808427
379.8499639,12.40289664
379.6693581,12.41770902
379.8695772,12.43087558
380.3582752,12.44404213
380.0411936,12.45720869
379.609701,12.47037525
379.7306496,12.4835418
380.1956483,12.49835418
380.1825728,12.51316656
380.5544082,12.52797893
380.1670456,12.54114549
380.0256664,12.55595787
380.0697963,12.56912442
380.8028434,12.58229098
380.5233538,12.59545754
379.8695772,12.60862409
380.261026,12.62343647
380.4440834,12.63824885
380.3893296,12.6514154
380.7848645,12.66622778
380.2544882,12.68104016
380.3476514,12.69420671
380.3076075,12.70901909
380.9809975,12.72218565
380.6181515,12.73535221
380.1049368,12.74851876
380.4261046,12.76168532
380.6990563,12.7764977
380.875576,12.79131007
381.1926577,12.80612245
380.457159,12.81928901
380.8224567,12.83410138
380.7480896,12.84726794
381.3005309,12.86208032
380.8821138,12.87360105
380.5560427,12.88676761
380.9589326,12.90157999
381.0954084,12.91474654
381.2277982,12.93120474
381.5465143,12.9443713
380.8600488,12.95918367
381.0578163,12.97070441
381.3659085,12.98716261
381.6127092,12.99868334
381.2915414,13.0118499
380.9834492,13.02501646
381.3242303,13.03982883
381.478685,13.05628703
381.5089222,13.06780777
382.0417502,13.08426596
381.2449598,13.0957867
381.4451789,13.11059908
381.8570582,13.12541145
381.8570582,13.13693219
381.5555038,13.15009875
381.086419,13.16491113
381.6609252,13.17807768
381.7818739,13.19289006
381.5555038,13.20605662
381.9428664,13.22251481
381.5293527,13.23568137
381.4410928,13.25049375
382.1389994,13.2636603
382.004158,13.27682686
382.0172335,13.28999342
381.3994146,13.30315997
381.8129283,13.31632653
382.2182699,13.33278473
381.8701338,13.3475971
382.3808968,13.36076366
382.0066097,13.37557604
382.0662668,13.38874259
382.7216779,13.40190915
382.5124694,13.41672153
382.318788,13.42824226
382.152075,13.44140882
382.4953077,13.4562212
382.5835676,13.46938776
382.3588318,13.48420013
382.6840857,13.49901251
382.2158182,13.51217907
382.0090613,13.52534562
382.8189272,13.540158
382.5917398,13.55332456
382.1038589,13.56649111
382.2534104,13.57965767
382.6097186,13.59447005
382.8254649,13.60928242
382.536986,13.62244898
382.8957459,13.63726136
382.563137,13.65207373
382.466705,13.66524029
383.4964032,13.67840685
382.8932943,13.6915734
382.396424,13.70473996
382.6473108,13.71790652
382.9349725,13.73271889
383.0894273,13.74753127
382.9946296,13.76234365
383.3730029,13.7755102
382.8867565,13.79032258
382.8320027,13.80348914
383.6900846,13.81665569
383.1441811,13.82982225
382.6889891,13.84298881
382.8254649,13.85780118
383.0297701,13.87261356
383.2389787,13.88578012
383.2128276,13.9005925
383.3509379,13.91540487
383.2545059,13.92857143
383.2455164,13.94173799
383.8380015,13.95655036
383.502941,13.96971692
383.0763517,13.98123766
383.3403141,13.99605003
383.5013066,14.01086241
383.6018247,14.02402897
383.9965424,14.03884134
383.4195845,14.0520079
383.4236706,14.06682028
383.3819923,14.07998683
384.1256633,14.09315339
383.6704713,14.10631995
383.2169137,14.1194865
383.628793,14.13429888
383.909917,14.14911126
384.0668234,14.16227781
384.2335364,14.17709019
383.5470709,14.19190257
383.43266,14.20506912
383.6263414,14.2198815
384.1174911,14.23304806
383.7955061,14.24621461
383.4130467,14.25938117
383.628793,14.27254773
383.9965424,14.28736011
384.0668234,14.30217248
384.3749156,14.31698486
383.6042764,14.33015142
383.8551632,14.34496379
384.0447584,14.35813035
384.3700123,14.37129691
384.0161557,14.38610928
383.721139,14.39763002
384.1697932,14.4124424
384.2670425,14.42725477
384.1943098,14.44206715
384.7026212,14.45523371
384.1746965,14.47004608
384.1697932,14.48321264
384.6012858,14.4963792
384.8766892,14.50954575
385.0107134,14.52435813
383.8772281,14.53587887
384.5179293,14.55069124
384.665029,14.56550362
384.6560396,14.57867018
384.9224536,14.59348255
384.2776664,14.60829493
384.3193446,14.62146149
384.9886485,14.63627386
384.8783237,14.6477946
384.5154776,14.66260698
384.1174911,14.67412772
384.9028403,14.68894009
384.7688161,14.70375247
384.7688161,14.71856485
385.1406516,14.7317314
384.7794399,14.74654378
384.7974188,14.75971034
385.4046139,14.77452271
385.0613811,14.78604345
384.8717859,14.80085583
384.6143613,14.81402238
385.0809944,14.82883476
385.2861169,14.84364714
385.1381999,14.85681369
385.5803164,14.87162607
384.8701515,14.88643845
384.5971997,14.899605
385.4969598,14.91277156
385.1717059,14.92593812
384.7663644,14.93910467
384.6830079,14.95227123
385.0483056,14.96708361
385.5100354,14.98189598
385.1798782,14.99670836
385.3057302,15.00987492
385.2616002,15.02468729
384.9510563,15.03785385
385.9260008,15.05102041
385.246073,15.06418697
385.1431032,15.07735352
385.3098163,15.09052008
385.4552816,15.10533246
385.7854388,15.12014483
385.5762303,15.13331139
385.5721442,15.14812377
385.2722241,15.16293614
385.3539462,15.1761027
386.0338739,15.18926926
385.6930928,15.20243581
385.1823298,15.21560237
385.3433223,15.23041475
385.4242272,15.24522712
385.6448768,15.25839368
385.8426443,15.27320606
385.4552816,15.28801843
385.4511955,15.30118499
385.4373027,15.31435155
386.3378801,15.3275181
385.8099554,15.34068466
385.1847815,15.35385122
385.6244463,15.36866359
385.8115899,15.38347597
385.9374419,15.39828835
386.0583906,15.4114549
385.5410898,15.42626728
385.5386381,15.43943384
385.5370037,15.45424621
386.278223,15.46741277
385.941528,15.48057933
385.4266788,15.49374589
385.7241472,15.50691244
386.0248845,15.52172482
386.06738,15.5365372
386.3403317,15.55134957
385.8271171,15.56451613
385.8581714,15.57932851
385.6775656,15.59249506
386.2757713,15.60566162
385.7895249,15.61882818
385.5321003,15.63199473
385.8957636,15.64516129
386.0755522,15.65997367
386.1662637,15.67478604
386.4784421,15.68959842
385.7919766,15.70276498
385.9921957,15.71757735
386.163812,15.73074391
386.6394346,15.74391047
386.1531882,15.75707702
385.7413089,15.77024358
386.1662637,15.78341014
386.2937502,15.79986833
386.3182668,15.81303489
386.7579316,15.82784727
386.0869933,15.84265964
386.08209,15.8558262
386.6655856,15.86899276
386.7848999,15.88215932
386.4408499,15.89697169
386.0207984,15.90849243
386.3836444,15.92330481
386.6124663,15.93811718
386.3754722,15.95292956
386.9606024,15.96774194
386.1948664,15.98090849
386.1989525,15.99407505
387.0464105,16.00888743
386.592853,16.02205398
386.6328968,16.03522054
386.0869933,16.0483871
386.4898832,16.06155365
386.7644694,16.07801185
386.4261399,16.09117841
387.0725616,16.10599078
386.4849798,16.12080316
386.5266581,16.13396972
387.1853381,16.14713627
386.6901023,16.16030283
386.7138017,16.17346939
386.4016233,16.18663594
386.7848999,16.20144832
387.0529483,16.2162607
386.7710071,16.22942725
386.8486431,16.24423963
386.6173696,16.25740619
386.6394346,16.27221856
387.4092566,16.28538512
386.9230102,16.29855168
386.6990917,16.31171824
386.5626158,16.32488479
386.8461914,16.33969717
386.8837836,16.35450955
387.1166915,16.3676761
387.3283517,16.38248848
386.8020615,16.39730086
386.8568153,16.41046741
387.5040542,16.42363397
387.1673592,16.43680053
386.6851989,16.44996708
386.7473077,16.46313364
387.1918758,16.47794602
387.299749,16.49275839
387.195962,16.50757077
387.1322187,16.52073733
386.9581507,16.5355497
387.033335,16.54871626
387.6160135,16.56188282
387.3283517,16.57504937
386.7252428,16.58821593
386.9426235,16.60302831
387.0464105,16.61784068
387.5195814,16.63265306
387.5089575,16.64581962
387.2686946,16.66063199
387.2883079,16.67379855
387.1869725,16.68696511
387.7443171,16.70177749
387.6233684,16.71329822
386.8878697,16.72646478
387.1542837,16.74127716
387.4468487,16.75608953
387.8015226,16.76925609
387.9159335,16.78406847
387.1346704,16.79888084
387.3855572,16.8120474
387.2245647,16.82521396
387.8407492,16.83838051
387.5391947,16.85319289
386.9058486,16.86471363
