Stress(MPa),Strain(%)
0.453093151,0
0.470580956,0
1.697112064,0.005
6.108808531,0.0240625
10.66676665,0.0415625
15.89800529,0.0590625
21.73416303,0.0765625
26.68718657,0.09625
30.99236641,0.1159375
34.97402183,0.1334375
38.15521269,0.153125
41.76405989,0.170625
45.44365321,0.1903125
48.04456688,0.2078125
50.48491069,0.2253125
53.39822016,0.245
56.21137219,0.2625
59.36871604,0.2821875
61.98711751,0.2996875
64.33127839,0.319375
66.98942488,0.336875
69.56728643,0.3565625
72.53623892,0.3740625
74.70711154,0.39375
76.27385996,0.4090625
79.06952419,0.42875
81.54166401,0.44625
84.26499232,0.4659375
86.82298137,0.485625
88.88415776,0.503125
91.33086077,0.5228125
93.66627775,0.5403125
97.02552626,0.56
98.73535673,0.5775
100.6772981,0.595
103.3577018,0.6125
105.6263471,0.63
108.2662109,0.6496875
110.9291268,0.669375
112.8702732,0.686875
115.5745239,0.7065625
117.7167801,0.7240625
121.0418479,0.74375
122.5744157,0.76125
124.2993492,0.77875
127.0950135,0.79625
129.4948174,0.81375
131.9502643,0.8334375
134.5726402,0.853125
136.4263477,0.870625
138.8499986,0.8903125
141.2410586,0.9078125
144.0812372,0.9253125
145.9484579,0.945
147.8641676,0.9625
150.666191,0.98
152.977761,0.9975
155.4530804,1.0171875
158.5865772,1.036875
160.4363101,1.054375
163.1787161,1.0740625
166.151643,1.0915625
168.8853051,1.11125
171.0816145,1.12875
173.2564616,1.14625
176.0433819,1.16375
178.7198111,1.1834375
181.3612647,1.2009375
184.4868125,1.220625
186.483602,1.2403125
189.4104248,1.2578125
192.7712631,1.2775
195.0462677,1.295
197.3562478,1.3125
199.5485828,1.33
202.5000474,1.3496875
205.4952316,1.3671875
208.0635544,1.386875
211.3305945,1.4065625
213.8138629,1.4240625
216.7510194,1.4415625
220.8201138,1.4634375
223.2286616,1.47875
225.8033436,1.49625
228.2587905,1.51375
231.538549,1.5334375
234.5607598,1.5509375
237.6203309,1.570625
240.9318854,1.588125
243.3316893,1.6078125
246.4866485,1.6253125
250.2775278,1.645
252.5382242,1.6625
255.1733185,1.68
257.6629462,1.6975
260.9339608,1.7171875
264.494319,1.7346875
267.180287,1.754375
270.6309491,1.7740625
273.4464858,1.7915625
276.6038297,1.8090625
280.626025,1.82875
283.2094509,1.84625
285.8580586,1.86375
288.8572172,1.8834375
291.967662,1.9009375
295.3666555,1.9184375
298.7425969,1.938125
302.017586,1.9578125
305.0684132,1.9753125
307.868052,1.9928125
311.9864302,2.0146875
314.4164403,2.0321875
316.8933496,2.0496875
319.9608697,2.0671875
323.1078798,2.0846875
326.69288,2.104375
329.7047571,2.1240625
332.7492251,2.1415625
335.8167453,2.16125
338.9057277,2.17875
342.5145749,2.1984375
344.6298045,2.2159375
347.0828667,2.2334375
350.2513392,2.2509375
353.1113903,2.2684375
356.0056222,2.288125
358.8076456,2.305625
361.0874196,2.3253125
363.3902456,2.3428125
365.5976837,2.3603125
368.4831716,2.38
370.1397438,2.3996875
371.373429,2.4171875
373.644459,2.4346875
375.0911775,2.4521875
376.6070523,2.471875
378.3407298,2.4915625
378.9019294,2.5090625
