2;126.888126,37.573002 126.888355,37.572773 126.889413,37.57135 126.889699,37.570998 126.890681,37.569967 126.891201,37.569482 126.892018,37.568766 126.893146,37.567941 126.893587,37.56763
1;126.893659,37.567694 126.893218,37.568004 126.892094,37.568827 126.891282,37.569538 126.890765,37.570021 126.889787,37.571047 126.889505,37.571394 126.888444,37.572821 126.888211,37.573055
1;126.881019,37.577438 126.876796,37.579931 126.876279,37.580265
1;126.876211,37.580199 126.87673,37.579863 126.880954,37.57737
1;126.886488,37.574212 126.883774,37.575822 126.881019,37.577438
1;126.880955,37.57737 126.88371,37.575754 126.886424,37.574143
0;126.88103,37.577378 126.881081,37.577432 126.881315,37.577538 126.881606,37.577855 126.881898,37.578185 126.882228,37.578542 126.882308,37.578651 126.882338,37.578734 126.882351,37.578817 126.882354,37.578908 126.882342,37.578976 126.882315,37.579049 126.882258,37.579147 126.88215,37.579258 126.881706,37.579479 126.88149,37.579581 126.880914,37.579909 126.880194,37.580294 126.880043,37.58037
0;126.879666,37.580468 126.879733,37.580423 126.879985,37.580298 126.880135,37.580222 126.880853,37.579839 126.881431,37.579509 126.88165,37.579406 126.882076,37.579194 126.882165,37.579102 126.882214,37.579019 126.882236,37.578958 126.882246,37.578903 126.882244,37.578823 126.882232,37.578752 126.882208,37.578685 126.882138,37.578589 126.88181,37.578235 126.881518,37.577905 126.881242,37.577603 126.881009,37.577498 126.880944,37.57743
1;126.865073,37.574982 126.867789,37.573421 126.869371,37.572503 126.871237,37.571433 126.872217,37.570878 126.873776,37.569996 126.87721,37.568028 126.884128,37.564059 126.88711,37.562346
1;126.886351,37.56311 126.883286,37.564899 126.882564,37.565318 126.879972,37.566822 126.877401,37.568299 126.872781,37.570974 126.871177,37.57189 126.868275,37.573642 126.868009,37.573894 126.867431,37.574304 126.867247,37.574427
0;126.888325,37.576048 126.887296,37.575053 126.886414,37.574204
0;126.886498,37.57415 126.88738,37.574999 126.888408,37.575994
1;126.888206,37.57306 126.887868,37.573318 126.88649,37.57421
1;126.886422,37.574144 126.887796,37.573254 126.888131,37.572998
0;126.890128,37.574918 126.88919,37.575517 126.888402,37.576054
0;126.888332,37.575989 126.889121,37.575451 126.89006,37.574851
1;126.890632,37.578253 126.887908,37.57987
1;126.887843,37.579802 126.890567,37.578185
0;126.88723,37.579078 126.887919,37.579811
0;126.887832,37.579862 126.887144,37.579129
2;126.884912,37.581521 126.885928,37.580915 126.886871,37.580377 126.887843,37.579802
2;126.887908,37.57987 126.886934,37.580446 126.885992,37.580983 126.884977,37.581589
0;126.887918,37.579809 126.888781,37.580665 126.889425,37.581287 126.890252,37.582085
0;126.890169,37.58214 126.889342,37.581342 126.888697,37.580719 126.887833,37.579863
0;126.886986,37.579098 126.886859,37.579231 126.886601,37.579395 126.886167,37.579663 126.8852,37.580232 126.884607,37.580591 126.884501,37.580638 126.884415,37.580678
0;126.884156,37.580667 126.884196,37.580654 126.884365,37.580602 126.884448,37.580564 126.884548,37.58052 126.885135,37.580164 126.886102,37.579595 126.886534,37.579328 126.886781,37.579171 126.8869,37.579046
0;126.890557,37.578246 126.8899,37.577596 126.888325,37.576048
0;126.888409,37.575995 126.889984,37.577543 126.890642,37.578192
0;126.888401,37.576054 126.887868,37.576404 126.887715,37.576561 126.887657,37.576661 126.887638,37.576781 126.887628,37.576925 126.887644,37.577126 126.887674,37.577343 126.887664,37.577507 126.887656,37.577806 126.887653,37.577875 126.887558,37.578235 126.887336,37.578626 126.88725,37.578764 126.887217,37.578831 126.887185,37.578883 126.887156,37.578921
0;126.887063,37.578878 126.88709,37.578842 126.887118,37.578796 126.887151,37.578729 126.887238,37.578589 126.887455,37.578208 126.887546,37.577865 126.887549,37.577803 126.887556,37.577504 126.887566,37.577346 126.887537,37.577134 126.88752,37.576925 126.88753,37.576773 126.887552,37.576638 126.887622,37.576516 126.88779,37.576345 126.888332,37.575988
1;126.890052,37.574912 126.888127,37.573056
2;126.88821,37.573002 126.890135,37.574858
