Date,Tmx,Tmx1,Tmx2,Tmx3,Tmx4,Tmx5,Tmx6,Tmx7,Tmx8,Tmx9,Tmx10,Tmx11,Tmx12,Tmx13,Tmx14,Tmx15,Tmx16,Tmx17,Tmx18,Tmx19,Tmx20,Tmx21,Tmx22,Tmx23,Tmx24,Tmx25,Tmx26,Tmx27,Tmx28,Tmx29,Tmx30,Tmx31
2014-10-06,22.6,23.2,46.2,67.0,87.1,111.5,111.5,135.2,155.89999999999998,180.59999999999997,205.69999999999996,229.89999999999995,257.59999999999997,281.4,310.4,338.29999999999995,363.9,392.0,420.4,447.4,470.0,497.0,524.5,552.9,581.1999999999999,607.8,637.0,665.9,694.1,724.3000000000001,755.6,786.3000000000001
2014-10-07,22.5,22.6,45.8,68.8,89.6,109.69999999999999,134.1,134.1,157.79999999999998,178.49999999999997,203.19999999999996,228.29999999999995,252.49999999999994,280.19999999999993,303.99999999999994,332.99999999999994,360.8999999999999,386.49999999999994,414.59999999999997,442.99999999999994,469.99999999999994,492.59999999999997,519.5999999999999,547.0999999999999,575.4999999999999,603.7999999999998,630.3999999999999,659.5999999999999,688.4999999999999,716.6999999999999,746.9,777.6
2014-10-08,23.6,22.5,45.1,68.3,91.3,112.1,132.2,156.6,156.6,180.29999999999998,200.99999999999997,225.69999999999996,250.79999999999995,274.99999999999994,302.69999999999993,326.49999999999994,355.49999999999994,383.3999999999999,408.99999999999994,437.09999999999997,465.49999999999994,492.49999999999994,515.0999999999999,542.0999999999999,569.5999999999999,597.9999999999999,626.2999999999998,652.8999999999999,682.0999999999999,710.9999999999999,739.1999999999999,769.9
2014-10-09,25.4,23.6,46.1,68.7,91.9,114.9,135.70000000000002,155.8,180.20000000000002,180.20000000000002,203.9,224.6,249.29999999999998,274.4,298.59999999999997,326.29999999999995,350.09999999999997,379.09999999999997,406.99999999999994,432.59999999999997,460.7,489.09999999999997,516.0999999999999,538.6999999999999,565.6999999999999,593.1999999999999,621.5999999999999,649.8999999999999,676.4999999999999,705.6999999999999,734.5999999999999,765.3
2014-10-10,26.3,25.4,49.0,71.5,94.1,117.3,140.3,161.10000000000002,181.20000000000002,205.60000000000002,205.60000000000002,229.3,250.0,274.7,299.8,324.0,351.7,375.5,404.5,432.4,458.0,486.1,514.5,541.5,564.1,591.1,618.6,647.0,675.3,701.9,731.1,761.8000000000001
2014-10-11,25.6,26.3,51.7,75.30000000000001,97.80000000000001,120.4,143.6,166.6,187.4,207.5,231.9,231.9,255.6,276.3,301.0,326.1,350.3,378.0,401.8,430.8,458.7,484.3,512.4,540.8,567.8,590.4,617.4,644.9,673.3,701.5999999999999,728.1999999999999,758.9
2014-10-12,29.0,25.6,51.900000000000006,77.30000000000001,100.9,123.4,146.0,169.2,192.2,213.0,233.1,257.5,257.5,281.2,301.9,326.59999999999997,351.7,375.9,403.59999999999997,427.4,456.4,484.29999999999995,509.9,538.0,566.4,593.4,616.0,643.0,670.5,698.9,727.1999999999999,757.9
2014-10-13,21.7,29.0,54.6,80.9,106.30000000000001,129.9,152.4,175.0,198.2,221.2,242.0,262.1,286.5,286.5,310.2,330.9,355.59999999999997,380.7,404.9,432.59999999999997,456.4,485.4,513.3,538.9,567.0,595.4,622.4,645.0,672.0,699.5,727.9,758.6
2014-10-14,20.0,21.7,50.7,76.30000000000001,102.60000000000001,128.0,151.6,174.1,196.7,219.89999999999998,242.89999999999998,263.7,283.8,308.2,308.2,331.9,352.59999999999997,377.29999999999995,402.4,426.59999999999997,454.29999999999995,478.09999999999997,507.09999999999997,535.0,560.6,588.7,617.1,644.1,666.7,693.7,721.2,751.9000000000001
2014-10-15,20.0,20.0,41.7,70.7,96.30000000000001,122.60000000000001,148.0,171.6,194.1,216.7,239.89999999999998,262.9,283.7,303.8,328.2,328.2,351.9,372.59999999999997,397.29999999999995,422.4,446.59999999999997,474.29999999999995,498.09999999999997,527.0999999999999,554.9999999999999,580.5999999999999,608.6999999999999,637.0999999999999,664.0999999999999,686.6999999999999,713.6999999999999,744.4
