3;126.905202,37.590806 126.905876,37.590617 126.906158,37.590551 126.906435,37.590511 126.907493,37.590444 126.908448,37.590389 126.90883,37.590394 126.908904,37.590394 126.909014,37.590394 126.909091,37.590383 126.909194,37.590356 126.909285,37.590328 126.909411,37.590252 126.909487,37.590215 126.909925,37.589976 126.910144,37.589829 126.910332,37.589655 126.910488,37.589504 126.910654,37.589318 126.910717,37.58925 126.910862,37.589166 126.911026,37.589073 126.91154,37.588953 126.912522,37.588756 126.912851,37.588686 126.913035,37.588663
3;126.913052,37.588747 126.912873,37.588769 126.912549,37.588839 126.911569,37.589035 126.911074,37.589151 126.910925,37.589235 126.910794,37.589311 126.910741,37.589368 126.910574,37.589556 126.910415,37.58971 126.91022,37.58989 126.90999,37.590044 126.909545,37.590287 126.909472,37.590322 126.909338,37.590404 126.90923,37.590437 126.909117,37.590466 126.909024,37.590479 126.908904,37.59048 126.908829,37.59048 126.908451,37.590475 126.907501,37.590529 126.906449,37.590596 126.906183,37.590635 126.905909,37.590699 126.905238,37.590886
2;126.912487,37.588816 126.912444,37.588745 126.911833,37.588023 126.911514,37.587646 126.911233,37.587313 126.910419,37.586357 126.91029,37.586229 126.910014,37.586037 126.909604,37.58587 126.909315,37.585758 126.908863,37.585577
1;126.905178,37.590872 126.905045,37.59074 126.904394,37.590079 126.902147,37.587802 126.90115,37.586815 126.901117,37.586786 126.900547,37.586333 126.899653,37.585632 126.899376,37.585417 126.899332,37.585384 126.898964,37.585101 126.898057,37.584416 126.897552,37.584033 126.89661,37.583349 126.895978,37.582741 126.895443,37.582259
2;126.895523,37.582203 126.89606,37.582686 126.896688,37.58329 126.897625,37.58397 126.898131,37.584355 126.899039,37.585039 126.899406,37.585322 126.899451,37.585355 126.899728,37.585571 126.900623,37.586272 126.901196,37.586728 126.901232,37.58676 126.902231,37.587749 126.904478,37.590027 126.905129,37.590687 126.905262,37.590819
2;126.908912,37.585501 126.909363,37.585681 126.909653,37.585793 126.910075,37.585966 126.910368,37.58617 126.910506,37.586307 126.911322,37.587265 126.911604,37.587599 126.911923,37.587976 126.912537,37.588702 126.912584,37.588778
2;126.908852,37.585507 126.909233,37.585243 126.909676,37.584926 126.9103,37.584487
3;126.910372,37.584551 126.909748,37.584989 126.909304,37.585306 126.908923,37.585571
1;126.913233,37.582481 126.912698,37.581779 126.912029,37.580886 126.91139,37.580065 126.910733,37.579207 126.909697,37.577897
3;126.909788,37.577851 126.910825,37.579162 126.911482,37.58002 126.912121,37.580841 126.912791,37.581735 126.913325,37.582437
1;126.905898,37.580436 126.905003,37.579591 126.904183,37.578769 126.904103,37.578697
1;126.903873,37.578313 126.904185,37.578642 126.904265,37.578714 126.905086,37.579537 126.90598,37.580382
3;126.909777,37.577907 126.90925,37.578251 126.908163,37.57898 126.907975,37.579103 126.907705,37.579278 126.907437,37.579457 126.907153,37.579648 126.906972,37.579768 126.906662,37.57996 126.906531,37.580047 126.906169,37.58028 126.905978,37.580439
2;126.908864,37.585577 126.90857,37.585462 126.908293,37.585348 126.90822,37.585305 126.908118,37.585241 126.908006,37.585152 126.907897,37.585054 126.907759,37.584915 126.907328,37.58445 126.906309,37.583334 126.905437,37.582386 126.904878,37.581777 126.904516,37.581371
2;126.904604,37.581322 126.904965,37.581727 126.905524,37.582335 126.906396,37.583284 126.907415,37.584399 126.907845,37.584864 126.907979,37.584999 126.908085,37.585093 126.90819,37.585177 126.908286,37.585238 126.90835,37.585276 126.908618,37.585386 126.908912,37.585501
2;126.910294,37.584547 126.909885,37.584154 126.909022,37.583371 126.907904,37.582317 126.907346,37.581797 126.906953,37.581433 126.905898,37.580437
1;126.90598,37.580382 126.907035,37.581378 126.907428,37.581742 126.907987,37.582262 126.909104,37.583315 126.909967,37.584099 126.910377,37.584492
4;126.904524,37.581315 126.905001,37.580981 126.905904,37.580376
4;126.905974,37.580442 126.905071,37.581045 126.904595,37.581379
3;126.904516,37.581372 126.90416,37.580989 126.904005,37.580856 126.903664,37.580645 126.902602,37.579966 126.902046,37.579628 126.901597,37.57936 126.901484,37.579312 126.901422,37.579303 126.901394,37.5793 126.90135,37.579304 126.901269,37.579322 126.900467,37.57957 126.90021,37.579622 126.899989,37.579645 126.899931,37.579639
2;126.899943,37.579554 126.899988,37.579559 126.90019,37.579538 126.900434,37.579489 126.901235,37.579241 126.901329,37.57922 126.901394,37.579214 126.901439,37.579218 126.90152,37.579231 126.901655,37.579287 126.902112,37.57956 126.902669,37.579899 126.903731,37.580578 126.904078,37.580793 126.904243,37.580935 126.904603,37.581321
3;126.9059,37.58038 126.906096,37.580217 126.906463,37.579982 126.906594,37.579894 126.906904,37.579702 126.907083,37.579583 126.907368,37.579392 126.907636,37.579212 126.907907,37.579037 126.908094,37.578915 126.909181,37.578185 126.909708,37.577841
