1;126.882395,37.591008 126.882536,37.59088 126.884352,37.589305 126.885704,37.588135 126.887059,37.586935
1;126.887399,37.58706 126.887235,37.587196 126.887188,37.587236 126.885971,37.588278 126.884468,37.589573 126.882678,37.591113
0;126.882673,37.591051 126.883386,37.591513
0;126.883633,37.591501 126.883939,37.59147099999999 126.884797,37.591415 126.885066,37.591427 126.885221,37.591448 126.885369,37.59147 126.885503,37.591545 126.885922,37.59178699999999 126.886066,37.5919 126.886262,37.59207299999999 126.886358,37.592164 126.88645,37.592365 126.886728,37.592922 126.886858,37.593167 126.886967,37.593321 126.887374,37.593788 126.887616,37.594022 126.887661,37.59405 126.887786,37.594127 126.887804,37.59413299999999 126.887866,37.594143 126.887964,37.59414999999999 126.888047,37.594141 126.888477,37.59405699999999 126.888945,37.594005 126.889385,37.59400399999999 126.889807,37.59404 126.890131,37.59409 126.890474,37.594189 126.890826,37.59431599999999 126.891131,37.59445 126.891407,37.59459799999999 126.891669,37.594783 126.891929,37.595013 126.892149,37.595245 126.892371,37.595545 126.892569,37.595912 126.892629,37.59608
0;126.883318,37.591579 126.882605,37.591117
0;126.892525,37.59610299999999 126.892467,37.59593999999999 126.892275,37.595584 126.892059,37.595293 126.891846,37.59506799999999 126.891592,37.594844 126.891341,37.59466599999999 126.891075,37.594522 126.890778,37.59439199999999 126.890433,37.594268 126.890102,37.59417299999999 126.889791,37.594124 126.889379,37.59409 126.888953,37.594091 126.888498,37.59414 126.888067,37.594225 126.887966,37.594236 126.88785,37.594228 126.887774,37.59421499999999 126.887733,37.594203 126.887594,37.59411699999999 126.88754,37.594084 126.887287,37.593839 126.886876,37.593366 126.886761,37.5932 126.886628,37.592955 126.886349,37.592396 126.886263,37.592207 126.886181,37.59212 126.885988,37.591959 126.885852,37.591852 126.885442,37.591616 126.885326,37.59155799999999 126.885198,37.591531 126.885054,37.591512 126.884798,37.5915 126.88395,37.59155599999999 126.883646,37.591585
1;126.88268,37.591112 126.882543,37.591243 126.879986,37.593574 126.879356,37.594146 126.879138,37.594341 126.879046,37.594424 126.878641,37.594787 126.878572,37.594849 126.878519,37.594899 126.877907,37.595444 126.876523,37.596696 126.873561,37.599728 126.873514,37.599777 126.873064,37.60027 126.872341,37.601065 126.872096,37.601322 126.871721,37.601717 126.87155,37.601895 126.871495,37.601953 126.870089,37.603433 126.869988,37.603539 126.869189,37.604379 126.869072,37.604505 126.868917,37.604635 126.868847,37.604683 126.868762,37.604743 126.868629,37.60484
1;126.868685,37.604466 126.868709,37.60445 126.868814,37.604379 126.868945,37.604279 126.869857,37.603289 126.870998,37.602064 126.871247,37.601798 126.871307,37.601734 126.871625,37.601391 126.871925,37.601069 126.873036,37.599947 126.87315,37.599813 126.873183,37.599769 126.873871,37.599047 126.876214,37.596592 126.87772,37.595248 126.877824,37.595153 126.878391,37.594639 126.882315,37.59108 126.882395,37.591008
