1;126.898787,37.573423 126.898606,37.573247 126.898588,37.573231 126.898557,37.573221 126.8985,37.57318 126.898435,37.57313 126.89813,37.572818 126.896972,37.571532 126.896159,37.570654 126.895412,37.569872 126.895202,37.569491 126.895101,37.569374 126.894558,37.568752 126.894458,37.568649 126.894008,37.568175 126.893579,37.567686
1;126.893667,37.567637 126.894095,37.568125 126.894543,37.568597 126.894645,37.568702 126.89519,37.569326 126.89529,37.569442 126.895679,37.569711 126.896406,37.570541 126.898371,37.572681 126.898623,37.573035 126.898648,37.573111 126.898664,37.573162 126.898669,37.573174 126.898688,37.573191 126.898871,37.573369
1;126.899119,37.566255 126.89913,37.566019 126.899105,37.564029 126.898966,37.562312 126.898922,37.561828 126.898918,37.56176 126.898902,37.561617
2;126.899009,37.561609 126.899026,37.561754 126.89903,37.561823 126.899074,37.562306 126.899212,37.564026 126.899237,37.56602 126.899226,37.566258
1;126.891022,37.56491 126.889563,37.563405 126.888704,37.562445 126.887692,37.561167 126.887474,37.561021 126.887346,37.560968 126.887189,37.560928 126.887023,37.560911 126.886877,37.560924 126.886687,37.560966 126.886544,37.561019 126.886413,37.561082 126.886275,37.561167 126.886148,37.561268 126.886049,37.561374 126.885923,37.561537 126.885853,37.561671 126.885822,37.561779 126.885809,37.561875 126.885816,37.561955 126.885845,37.562034 126.885886,37.56211 126.885949,37.56219 126.886024,37.562255 126.88611,37.562308 126.886196,37.562343 126.886333,37.562378 126.886465,37.562396 126.886565,37.562393 126.886678,37.562369 126.886818,37.562323 126.886932,37.56227 126.887225,37.5621
1;126.891027,37.564915 126.890725,37.564691 126.889786,37.563826 126.888957,37.563041 126.888704,37.562805 126.888366,37.562625 126.888172,37.562574 126.888023,37.562565 126.887859,37.562565 126.887704,37.562586 126.887542,37.562626 126.887152,37.562771 126.886344,37.563113
1;126.889931,37.561053 126.889338,37.561632 126.889246,37.5618 126.889218,37.561907 126.889211,37.562015 126.889219,37.562103 126.889253,37.56223 126.889305,37.562327 126.889664,37.562801 126.889916,37.56305 126.890371,37.563584 126.890946,37.564502 126.891115,37.56487
1;126.891387,37.5602 126.890301,37.560816 126.889922,37.56106 126.88635,37.56311
1;126.88711,37.562346 126.89018,37.560555 126.890818,37.560175 126.891689,37.559623
1;126.887217,37.5621 126.887487,37.56187099999999 126.888236,37.56139 126.888924,37.560948 126.889091,37.560854 126.88985,37.56053899999999 126.890274,37.560391 126.890568,37.560245 126.890966,37.56001 126.891435,37.559714 126.8917,37.559617
1;126.891785,37.559961 126.891389,37.5602
1;126.896359,37.560267 126.896139,37.560148 126.89606,37.560096 126.895898,37.559951 126.895721,37.559741 126.894987,37.558605 126.894699,37.558061
1;126.894798,37.558028 126.895084,37.558569 126.895814,37.559698 126.895984,37.559899 126.896136,37.560035 126.896204,37.56008 126.89642,37.560197
1;126.898401,37.562026 126.897911,37.561886 126.897682,37.56182 126.896982,37.561631 126.896504,37.561496 126.89616,37.561377 126.895917,37.561264 126.895545,37.561072 126.895209,37.56082 126.895001,37.560641 126.894804,37.56043 126.894633,37.560211 126.894468,37.559932 126.894382,37.559747 126.894338,37.559608 126.894271,37.559348 126.89423,37.559029 126.894233,37.558742 126.894264,37.558481 126.894411,37.557899 126.894692,37.556918 126.894756,37.5567 126.894927,37.556329 126.895131,37.556025 126.8953,37.555827 126.895508,37.55562 126.896473,37.554905 126.899042,37.553058 126.900011,37.552463
1;126.90061,37.552502 126.900474,37.552634 126.900105,37.553047 126.897782,37.554785 126.897268,37.555189 126.896969,37.555455 126.896507,37.555916 126.896107,37.55643 126.895842,37.556886 126.895703,37.55716 126.895492,37.55764 126.895285,37.558224 126.895209,37.558529 126.895193,37.558678 126.89519,37.559015 126.8952,37.55915 126.89526,37.559449 126.895342,37.559661 126.895537,37.560036 126.895737,37.560291 126.896275,37.560815 126.896461,37.560978 126.896682,37.561152 126.897065,37.561372 126.897304,37.56148 126.898029,37.561752
3;126.899155,37.566216 126.89931,37.566174 126.899965,37.565987 126.900095,37.565943 126.900138,37.565926 126.900571,37.565745 126.901418,37.565406
1;126.901467,37.565483 126.90062,37.565821 126.900187,37.566002 126.90014,37.566021 126.900004,37.566067 126.899346,37.566254 126.89919,37.566297
1;126.893588,37.567629 126.894024,37.567338 126.895309,37.566707 126.895971,37.566519 126.896476,37.566416 126.897398,37.566269 126.89743,37.566268 126.897762,37.566254 126.898433,37.566255 126.898819,37.566254 126.898939,37.566252 126.899161,37.566215
1;126.899184,37.566298 126.898951,37.566337 126.89882,37.56634 126.898433,37.566341 126.897764,37.56634 126.897435,37.566354 126.897411,37.566354 126.8965,37.566499 126.896002,37.566601 126.895356,37.566785 126.894087,37.567407 126.893658,37.567695
1;126.89358,37.567688 126.893136,37.567231 126.891021,37.564909
1;126.891108,37.564859 126.893222,37.56718 126.893666,37.567636
2;126.89893,37.561232 126.901694,37.562333 126.903888,37.562947
1;126.898022,37.56175 126.899401,37.562091 126.902345,37.562871
1;126.90095,37.562271 126.900352,37.56208399999999 126.899325,37.561684 126.898879,37.561495
1;126.898903,37.561624 126.898852,37.561468
1;126.8963,37.560371 126.896084,37.560292
1;126.898879,37.561495 126.898409,37.561297 126.896873,37.560673 126.896293,37.560367
1;126.896291,37.560366 126.896185,37.5603 126.896124,37.56025 126.896076,37.56019 126.896024,37.56011 126.895895,37.559947
1;126.898852,37.56146799999999 126.898825,37.56138599999999 126.898796,37.56131599999999 126.898766,37.561289 126.898729,37.561262 126.898661,37.56122299999999 126.896945,37.56054 126.896695,37.560431 126.896361,37.560268
1;126.896418,37.560196 126.896749,37.560358 126.896995,37.560464 126.898713,37.561148 126.89893,37.561232
1;126.887575,37.56192399999999 126.888582,37.561343 126.888718,37.561244 126.889049,37.560958 126.889426,37.560591 126.889589,37.560448 126.889714,37.560349 126.890119,37.56011 126.890301,37.560021 126.890426,37.559969 126.890641,37.559892 126.890949,37.559803 126.891086,37.559774 126.891267,37.559746 126.891765,37.559708 126.892226,37.559722 126.892669,37.559784 126.892898,37.559831 126.893118,37.559894 126.894072,37.560298 126.895215,37.560792 126.89541,37.560886 126.895505,37.560933 126.895707,37.561013 126.896436,37.56129 126.896747,37.561386 126.897013,37.561463 126.897381,37.561579 126.898023,37.56175
